title,"Prices of 50,000 round cut diamonds",
description,"A dataset containing the prices and other attributes of almost 54,000 diamonds",
source,www.google.com,
name,diamonds,
,,
name,type,description
price,double,"price in US dollars ($326 - $18,823)"
carat,double,weight of diamond (0.2 - 5.01)
cut,character,"quality of the cut (Fair, Good, Very Good, Premium, Ideal)"
color,character,"diamond color, from D (best) to J (worst)"
clarity,character,"a measurement of how clear the diamond is (I1 (worst), SI2, SI1, VS2, VS1, VVS2, VVS1, IF (best))"
x,double,length in mm (0-10.74)
y,double,width in mm (0-58.9)
z,double,depth in mm (0-31.8)
depth,double,"total depth percentage = z / mean(x, y) = 2 * z / (x + y) (43-79)"
table,double,width of top of diamond relative to widest point (43-95)
